Robot X[m],Robot Y[m],Robot Theta[rads],Landmark X[m],Landmark Y[m],Range[m],Bearing[rads]
0.7024866,1.8600259,-1.9003,0.91765949,0.59631939,1.192,0.485
0.6995786,1.846165,-1.7962,0.91765949,0.59631939,1.233,0.416
0.6961963,1.8334428,-1.6975,0.91765949,0.59631939,1.264,0.288
0.6948987,1.8240051,-1.6176,1.91856554,-0.82058089,2.696,0.458
0.694505,1.810346,-1.5245,1.91856554,-0.82058089,2.781,0.384
0.6950524,1.7967504,-1.4541,0.91765949,0.59631939,1.286,0.078
0.6967997,1.7822851,-1.407,0.91765949,0.59631939,1.269,0.012
0.6967997,1.7822851,-1.407,3.72073503,-1.98025384,4.401,0.499
0.7010755,1.7672175,-1.375,0.91765949,0.59631939,1.247,-0.025
0.7018328,1.7542179,-1.3468,0.91765949,0.59631939,1.243,-0.043
0.7018328,1.7542179,-1.3468,3.72073503,-1.98025384,4.471,0.455
0.7114162,1.719427,-1.3353,0.84527678,-1.61673856,3.368,-0.2
0.7114162,1.719427,-1.3353,3.72073503,-1.98025384,4.441,0.436
0.7162847,1.7021648,-1.3353,2.65345619,-3.75123336,5.867,0.096
0.7206914,1.6858975,-1.3377,0.91765949,0.59631939,1.18,-0.041
0.7247334,1.6702437,-1.3348,0.48704624,-4.95127346,6.404,-0.28
0.7247334,1.6702437,-1.3348,3.72073503,-1.98025384,4.401,0.44
0.7288347,1.6541231,-1.3311,3.12907696,-5.5581163,7.631,0.076
0.7288347,1.6541231,-1.3311,3.72073503,-1.98025384,4.401,0.435
0.7313388,1.6405058,-1.2775,3.72073503,-1.98025384,4.471,0.389
0.7353988,1.6279004,-1.1821,2.65345619,-3.75123336,5.747,-0.037
0.7353988,1.6279004,-1.1821,3.72073503,-1.98025384,4.579,0.312
0.7389993,1.6176557,-1.0911,3.72073503,-1.98025384,4.657,0.197
0.7389993,1.6176557,-1.0911,2.76327261,0.24394752,2.248,0.475
0.7452859,1.6061198,-0.9952,0.84527678,-1.61673856,2.863,-0.546
0.7452859,1.6061198,-0.9952,2.76327261,0.24394752,2.324,0.404
0.7513528,1.595666,-0.8962,2.76327261,0.24394752,2.388,0.329
0.7595252,1.5858736,-0.7951,3.72073503,-1.98025384,4.718,-0.077
0.7595252,1.5858736,-0.7951,2.76327261,0.24394752,2.443,0.207
0.7712008,1.5739513,-0.7235,2.76327261,0.24394752,2.45,0.144
0.7812185,1.5636641,-0.6481,1.91856554,-0.82058089,2.443,-0.475
0.8065465,1.5464544,-0.5459,2.76327261,0.24394752,2.43,-0.029
0.8189979,1.5384907,-0.487,2.76327261,0.24394752,2.388,-0.1
0.833953,1.5301721,-0.442,3.72073503,-1.98025384,4.216,-0.433
0.8492261,1.5235693,-0.3942,2.76327261,0.24394752,2.369,-0.186
0.8649044,1.5177669,-0.3951,2.76327261,0.24394752,2.316,-0.202
0.8810413,1.5117148,-0.3918,2.76327261,0.24394752,2.302,-0.208
0.9106467,1.4995901,-0.3367,4.6723925,0.8440939,3.916,0.183
0.9847447,1.482071,-0.0718,3.26730988,2.52731607,2.265,0.517
1.0008562,1.481636,-0.0208,3.26730988,2.52731607,2.325,0.442
1.0150458,1.4815368,0.0346,3.26730988,2.52731607,2.366,0.399
1.0294997,1.4815047,0.0974,3.26730988,2.52731607,2.392,0.347
1.0294997,1.4815047,0.0974,4.13634588,3.60883503,3.398,0.509
1.0419287,1.4834376,0.1627,4.13634588,3.60883503,3.515,0.431
1.0567631,1.4861694,0.2277,3.26730988,2.52731607,2.458,0.218
1.0567631,1.4861694,0.2277,4.13634588,3.60883503,3.58,0.378
1.0685015,1.4884409,0.3065,3.26730988,2.52731607,2.471,0.147
1.0685015,1.4884409,0.3065,4.13634588,3.60883503,3.637,0.309
1.0835685,1.4927347,0.3961,4.13634588,3.60883503,3.73,0.216
1.0949691,1.4976265,0.4715,4.13634588,3.60883503,3.739,0.147
1.1064304,1.503591,0.5644,4.13634588,3.60883503,3.796,0.076
1.1167184,1.510883,0.6489,4.13634588,3.60883503,3.761,-0.047
1.1266304,1.5167838,0.7463,4.13634588,3.60883503,3.715,-0.128
1.1358867,1.5249698,0.8472,4.13634588,3.60883503,3.64,-0.246
1.144648,1.5345531,0.9305,4.13634588,3.60883503,3.567,-0.326
1.1518788,1.5420926,1.0417,4.13634588,3.60883503,3.424,-0.405
1.1571788,1.5536657,1.1286,4.13634588,3.60883503,3.211,-0.534
1.1626814,1.5655376,1.2308,0.8891764,4.40906195,2.645,0.45
1.1671682,1.5762667,1.3181,0.8891764,4.40906195,2.727,0.378
1.1703252,1.5888798,1.4157,0.8891764,4.40906195,2.808,0.261
1.1703252,1.5888798,1.4157,0.95289638,2.7093334,1.116,0.365
1.1724876,1.5998287,1.4993,0.95289638,2.7093334,1.134,0.291
1.174189,1.6116759,1.5973,0.95289638,2.7093334,1.157,0.238
1.1737997,1.626352,1.6569,0.95289638,2.7093334,1.149,0.125
1.1731914,1.6410385,1.7085,0.95289638,2.7093334,1.137,0.083
1.1710179,1.6572052,1.758,0.95289638,2.7093334,1.135,0.055
1.168513,1.6711854,1.8141,0.95289638,2.7093334,1.122,-0.017
1.166122,1.6858349,1.8602,0.95289638,2.7093334,1.112,-0.043
1.1641958,1.6994847,1.9097,0.95289638,2.7093334,1.083,-0.116
1.1564539,1.720033,1.8918,0.95289638,2.7093334,1.073,-0.117
1.1514911,1.7346242,1.8928,0.95289638,2.7093334,1.069,-0.077
1.1465126,1.7502537,1.8915,0.95289638,2.7093334,1.063,-0.075
1.1318158,1.7931187,1.8836,0.8891764,4.40906195,2.636,-0.221
1.1216313,1.8232766,1.8865,0.8891764,4.40906195,2.609,-0.225
1.1127023,1.8534326,1.8878,0.8891764,4.40906195,2.569,-0.229
1.1076191,1.8675966,1.8884,0.8891764,4.40906195,2.564,-0.231
1.0970123,1.8971788,1.8722,0.8891764,4.40906195,2.527,-0.231
1.093436,1.914917,1.8899,0.8891764,4.40906195,2.507,-0.233
1.0878606,1.9291738,1.8557,0.8891764,4.40906195,2.509,-0.223
1.086838,1.9364735,1.7809,0.8891764,4.40906195,2.534,-0.104
1.0840057,1.9494216,1.7465,0.8891764,4.40906195,2.52,-0.073
